,K1,K14,K15,K2,K3,K4,K5,K7,LANA,Orf10,Orf11,Orf16,Orf17,Orf18,Orf20,Orf21,Orf22,Orf23,Orf24,Orf25,Orf26,Orf27,Orf29,Orf30,Orf32,Orf34,Orf36,Orf37,Orf39,Orf4,Orf40,Orf42,Orf43,Orf44,Orf45,Orf46,Orf47,Orf48,Orf49,Orf50,Orf52,Orf54,Orf55,Orf56,Orf57,Orf58,Orf59,Orf6,Orf60,Orf61,Orf62,Orf63,Orf65,Orf66,Orf67,Orf68,Orf69,Orf7,Orf70,Orf8,Orf9,vIRF1,vIRF2,vIRF4,cluster
180,-1.415987336128092,-5.867100390921451,-0.8586434877042928,0.474951551379199,-0.7334076124118266,-2.7550056296813703,-2.34140245305176,-2.55572353392117,-1.5287071599139366,-5.9840345108747295,-7.5321128409872875,-5.406533004400485,1.1208135767260097,-3.3648795511663834,-3.793810075320014,3.1904975051425786,-4.12340921256733,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-4.65295723834312,-3.866520612898787,-2.15774542344289,2.910953319462375,-0.26806588379907653,4.966147862630165,-1.246610814444684,-6.61768496637884,-1.2072822710756137,-6.845539945259111,1.1385438258336353,-3.766922891009745,-0.16411622040840873,-0.449627616828867,-6.245755858545032,-1.4967856997558273,-4.358046975920926,0.18047571279226648,-3.7680821867821646,-2.5574668416718698,3.5058925768266804,-0.5839927719214741,3.2081654969863718,4.627220434333982,-0.46367138906808,-8.073695497017916,4.87411409047487,-5.172901740271712,-2.6933637043100354,-1.257077956642681,-11.8931261279052,-6.748318316088167,-6.743363016415355,-0.15917344852276896,2.85557324225152,-1.236631455616323,-2.35642322374483,-5.022775221901377,-8.510177438618907,-1.0707050421335005,-3.6135140131031,-4.862868039556435,2
220,-1.415987336128092,-5.6050350391464905,-7.291089836048448,-7.03478930218246,3.689510572894987,-2.9682525808685867,7.777974824908455,-14.070593960702015,-11.409153508258093,-9.337281462061947,-8.96273556302707,-5.406533004400485,-3.939121636664395,7.33936815357465,0.20388900657641235,0.030168739262171673,-4.12340921256733,-5.00041797055391,3.5498344838363454,0.88910015974129,-2.678145594172375,-1.8024138076050402,-4.65295723834312,3.132977856928573,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-7.36093191756606,-3.5494795306038585,-6.845539945259111,-4.156828131119837,-6.8856281812965365,-5.411060746384394,-0.380873060908428,-6.228567219564923,-9.532032274166122,-5.542441494977412,-3.1703545832607727,-7.783704908821949,-1.6549638043915753,-4.216252853413893,-4.030791867656876,-3.9059117502538965,-11.982814375387052,-8.64066682161515,-11.210275781538483,-9.101379058345715,-7.5988358233313935,0.8955120434775546,-3.0790032688998714,-6.03437157198479,-8.609887787179765,-4.78411531167432,0.4368704961041278,-17.93916761131015,-6.823125357990757,-2.35642322374483,-8.836022173088596,-8.510177438618907,-3.0287629775636997,-3.679889030401835,-10.185614613966742,2
225,-0.23097084688320538,2.906795671542608,3.912528489403602,-5.84977281293757,-2.8683047410208236,-1.7832360916237018,-4.401256390587702,-1.2255774714571097,3.7694648171939598,-8.15226497281707,-3.1419667785232197,-4.221516515155595,-2.7541051474195077,-2.1798630619214996,-2.6087935860751257,-2.0076465746536356,-2.9383927233224436,-3.815401481309025,-0.769396731659814,-2.2853818208411867,-1.4931291049274864,-3.031645023101198,-3.4679407490982332,-2.681504123653897,-1.605164147588415,-3.4089006180735653,0.712080178664983,-8.3085765016866,-0.06159432519979752,1.7640845716788232,0.23583787674460588,-5.660523456014229,-3.886310111702309,0.21322317145432157,-1.218840584725184,-12.5443519811456,-5.990674582690555,-1.5216396372917713,2.52517683047464,-3.0460017003372872,0.04706387568189463,1.6643890785319135,2.841064553934582,2.0391273758987563,9.590107799336264,-4.972547121055843,-7.755148802197623,-10.02525929229359,-0.5106102738419,-5.072690891198085,-1.3515509751793253,-1.1447705265758827,-13.327850492222,-2.688942070718036,-5.558346527170462,4.542639280607968,-1.25915112206525,1.4852244645874713,-1.17140673449994,-7.651005683843707,-7.32516094937401,-2.3329941930598554,12.77663204936095,-11.015221977092374,2
316,-1.415987336128092,1.7549310166757435,-1.586966532338867,8.3044131436549,4.446147066959207,8.500949864968776,5.727929566004775,13.57860848513535,-1.1061099599647775,9.635254317108744,8.037219178069265,5.40806821851819,1.3704795862542851,-3.3648795511663834,5.415711392182396,-0.8529289152860713,4.976059084657587,3.4091832523647696,1.9301880020139799,2.2293358385263704,3.6414556287463045,9.002540933491296,5.536511058881776,-0.1267864642863333,2.2542211975447177,-4.593917107318455,-0.47293631057990404,7.275609454905875,4.592591631392676,9.314937194937956,5.2363428550021585,2.071561277659555,6.891342103917275,9.162409128046791,4.497345371867296,4.73983397544684,-1.178789237557425,0.9502457078413677,2.6875222978996463,0.8684501076427315,9.26124983227439,-0.07115911348806654,3.1234100213595744,4.86547284332375,-1.1490395774045765,6.191638835536632,3.8823704877281933,10.965593330965568,6.91857568275058,4.656495065394407,7.684301648079824,1.7882147312059138,7.77633546437048,3.445357822183395,-3.6287617934966745,1.0322240142817427,4.66003483452723,2.96967627256749,8.17277922209253,9.973180272748797,9.345691673885133,-0.26360884792672223,9.495818005953435,6.946463979500114,1
541,-0.43912033628661,-5.37174544288061,-0.8261274001266159,3.63581169734199,-1.4097875637575632,-1.024718914360437,5.249027619929654,-2.225293460939775,1.0918690276161827,-2.8470811288871403,4.49861773175633,-5.406533004400485,-0.39132113690217096,-3.3648795511663834,-3.793810075320014,5.607737602451117,4.296791120607501,-5.00041797055391,-1.9544132209047,-3.4703983100860736,8.462154905589859,-4.216661512346085,-3.7294235718349715,-3.866520612898787,1.82011986292892,3.1713833924437647,-0.47293631057990404,-1.6982924911692452,-1.246610814444684,-4.3140649177245765,-2.847058412595388,3.4522605545030975,-9.837993267613864,1.970274015225728,-5.169376274350521,-0.268767470866074,-6.233040822054335,-2.406355626774435,-0.5513588591506926,-5.579051023153276,3.8326483859614546,-3.6602267443633405,-3.661591335595646,-4.691768913441252,-0.050974357050849996,-2.378829610617757,1.2104357080819275,-5.480075448363653,-6.5703262633245405,-3.322256630799615,-0.44283346474123686,-1.992300730378231,-2.88226598194244,-2.6364722745203784,-2.7680625166531447,-0.39374337554136224,-6.438867111547905,-0.49625835814927716,-2.35642322374483,-2.9658218399137795,-8.510177438618907,-1.5177101825425194,1.1572165596405304,-5.187287716693913,2
1167,-1.415987336128092,1.0023004292524824,4.408979196260825,6.20204469294516,9.716846098195234,4.285248080925704,5.165561115295035,11.31124003442565,2.1859155240511656,12.136219199732333,6.714850727359495,5.57188399316334,7.720212358463222,-3.3648795511663834,-1.51444327629449,1.3485595995198751,-0.2844645475247895,4.90299902700992,2.29900377665911,2.8985463549564705,3.900271403391435,3.3567554852177253,7.744932091741959,9.026980048895487,4.09494485951241,5.644499890245365,4.275480686983907,13.16324100419615,4.985223180682935,-6.00198725252352,-6.009178612500284,7.038794049868498,1.796562729137878,2.6410960122945153,4.798976921157562,3.6574655247371,7.206142923192172,6.695177868590967,-1.4630056636426432,5.534676806357514,8.328881381564615,-4.142738080627892,1.0041484617662584,-0.20442191724404238,4.6685919718856725,8.114270384826883,5.180002037018434,11.386558213589202,7.27620723204085,8.444126614684665,3.6391275315154843,-2.0873104471764186,8.97396701366073,0.6266371508425276,4.830053981148445,-3.420626877739787,5.837666383817485,0.5814306387609897,10.1504107713828,4.055200490329803,10.17332322317537,-0.9595936847409345,-7.99996744232012,8.329095528790349,1
1338,-1.415987336128092,7.075361608665225,0.7711614559792188,8.52129312418505,-4.05332123026571,-2.9682525808685867,5.109809546534925,9.72548846566552,5.470922511679825,7.855467630972217,6.55409915859939,13.18954942196705,8.15044018311124,-3.3648795511663834,2.6818393805004943,1.3880585536798142,-2.7547150704448264,4.70762324262982,4.556669205462805,1.6836566408256,3.1198956190113796,2.56137970083767,9.059791854691063,4.550867671346237,6.198401789534207,5.832165319049055,1.085104902603847,6.322489435436021,2.921430398739071,8.341817175468107,10.790903813867223,9.788042481108395,9.289755825420302,10.680955775243618,4.850225352397454,1.86671395597699,-5.4891704653435704,-3.1761149133528956,-6.413406688223246,1.0223838323907528,-4.00187018719548,-1.283239126467965,-3.0075189647633094,-3.2642396575256365,2.3078404031255597,0.34851881606676943,-6.961471149320013,1.5958066448290504,2.7504556632807198,1.12435443933268,-2.535845846845852,-4.480346669196838,7.15321544490063,-2.661351805805421,1.694678196768385,-0.9966555910585851,7.291914815057369,7.769623735043417,-2.35642322374483,2.11136611115641,-2.2627891543738934,1.5440511374708876,-0.48730201351642477,-3.8221972531535098,1
1347,-1.415987336128092,-5.111785596579754,0.06473426550574626,7.69058114006259,-4.05332123026571,-2.9682525808685867,-1.2935876587100605,-5.48790873957947,2.1062076375206034,-3.9488246479802633,-7.23429804664559,-0.6138477832779599,-3.939121636664395,-3.3648795511663834,-3.793810075320014,-0.3475395831501749,2.215047601514367,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,0.42883290907188315,-3.866520612898787,-0.4588380262720426,1.53376811380407,-0.47293631057990404,7.33677745131356,-1.246610814444684,7.164438524679003,-2.711030435602254,-1.8816973346978523,-0.8577463061171585,-3.58577476333471,2.083513368274985,-3.94399802814547,3.083336759748335,3.4598717051471324,-0.13754330497420764,0.21256210524786323,-0.9825821713179002,5.904743031532086,-0.6027296699632825,1.99533315200089,2.8071284190031,0.9102450915701414,1.6718718174692035,-4.32515230079012,3.3047436791582703,6.585163061802097,1.587907904113343,3.354710379747831,7.66250346077817,4.339216104818553,4.78200742582967,1.3562030861931105,6.716202830934909,0.00199812275758345,-2.35642322374483,10.969348269156468,7.195193003626154,-0.1739828506209533,-3.0456992187614045,6.222631975907795,1
1367,-1.415987336128092,7.589607837806126,-1.4940408065362367,5.49928935332596,11.330757425242707,11.08915940797317,3.732805775675825,9.028484694806425,2.455119117906633,7.446797193446453,8.17209538774029,15.02254565110795,8.847457018844015,-3.3648795511663834,5.419452849086714,0.01672270644041518,10.537336109607741,2.5166213572002945,3.6346654346037086,7.4156541269195335,1.3388937335818345,2.652417143162315,5.896428531995827,6.407558042609622,2.2878783547980053,8.725161548189956,1.754103017174302,10.14548566457694,1.320428513309521,5.88648007127568,2.271268580804768,1.6350190463721948,1.2563925027250715,5.124938895133103,3.426221581538356,-7.16528981488211,3.74338758357296,5.539922528971755,-0.8105767343635215,5.475714023341511,-2.54887395805458,1.8501179114620923,-3.0203204731069473,-0.9062576511427703,3.2458366322664607,3.432501935956278,3.5139133640658957,7.690469540636623,5.31845189242163,2.39035161118835,5.827511191084213,-2.128884926958822,9.50121167404153,5.376680287615714,8.62071563909305,-3.5143509901341257,4.379911044198275,0.3415675271787168,6.80765543176358,8.398056482419817,7.1739012168895,5.2260679732036674,-4.66134511212973,11.471340189171134,1
1461,5.793658828652514,5.502100364846829,0.9728750967638226,9.41414919215939,6.182283930742796,9.057352580139922,3.192665614509255,9.54834453363984,5.323492972856733,10.861657032279867,6.791955226573729,-5.406533004400485,0.8928476105065275,6.8745896960045165,3.2995530212850825,1.6632959323293717,2.8029036188799332,4.034051276617021,-1.9544132209047,5.058894019475151,2.5363236529985445,8.452276981995755,-4.65295723834312,8.285751214776393,1.1542886103376175,4.670552139852465,3.936532936591017,8.425345503410359,-0.547141567273765,1.3583604119951698,0.06839678523646206,-2.2660706980881873,8.800945226727988,7.027145176551269,3.0270814203717826,3.45957002395132,5.42074742240639,4.360047744219718,4.583098835571595,1.4232741399790572,8.60098588077888,-6.491335081151746,0.5171988601631631,-0.5385260167410449,5.907363137766564,7.358041550707774,5.392106536232646,9.54866271280339,4.673311731255058,7.296231113898887,2.6075479475273418,0.3197580531828775,9.92607151287496,5.788140364566971,8.415575477926476,-0.6130848790756918,4.98477088303171,0.7131874734565168,9.28251527059701,8.866249654586587,8.44876105572296,1.5284278120371049,1.7305540544579245,8.136200028004591,1
1835,4.096640888917813,0.3572359354743617,-1.1721225972999751,1.95915303538639,-4.05332123026571,0.23437564417730647,2.6926694577362595,-1.6036227919175747,3.813996431761038,8.26999420884021,4.846959069800725,3.7754381643839405,1.7903495321200211,5.507091617618017,3.805766859707512,-1.6646822847089082,1.277904899955607,4.96155319823052,-1.9544132209047,3.12556324829316,3.52882557461205,-0.004690343561660093,-0.9616431258201702,4.086107612147114,0.5092905319511226,4.128054061465971,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-0.1549703591868301,-0.32360167747273644,-0.3285687764747025,-1.5250124884242482,-0.11648881567282032,-4.967491671428758,5.10457386717833,2.429765681241178,2.0713006266399816,1.8193142112848277,1.9232767021304014,8.97598972400588,0.05533414766626125,2.0784134672310044,0.5004762891951701,1.3257003143269002,4.8497120606014485,2.343777046126329,9.436999889363724,2.22331557448206,-1.6597506272663125,4.214041539811315,-2.0880974425769785,-14.098924643898,-2.6865547010048423,3.128608152369055,0.08459396014748659,4.73977472625871,8.517483646244758,-2.35642322374483,8.38458683114691,7.890431565616616,-0.6325539291281065,-4.351413271099505,0.5052182868393797,1
3392,-1.415987336128092,6.016536655748289,1.5313664842290549,6.60496817126811,8.649769576518187,8.848171559248634,5.84348459361798,11.21416351274855,6.259230054054581,9.952476011388624,8.34277420568247,12.30822446905005,4.163196468423514,5.854999185558917,9.899947398130553,2.2405085850685182,10.57968159421659,12.954339502896651,3.2603442525458597,8.666025830031144,3.6217331425529045,6.643095961104475,10.440133568440784,6.013236860551779,5.1771374682546245,6.5158403661321005,-0.47293631057990404,7.881164482519081,4.86814665900588,7.0154922225511696,5.5766273662601815,8.349217528191447,7.911804626928279,8.139630822326657,2.8359003994805,-1.19961099693996,7.051566401515105,8.035601346913918,6.239917814680317,3.4054059505350662,10.821804859887589,6.815796729404265,5.505854043450138,5.915868360104438,5.818182116875282,8.942193863149834,7.076258848674731,9.866148358578775,7.84913071036377,9.8620500930076,9.189856675693038,4.385754036643924,10.6668904919837,6.1715824925017655,9.176394457035174,1.5940873525718822,8.165589862140429,8.05996544879313,8.86333424970574,10.43706863369533,8.429580034831687,6.67424679114583,9.346373033566636,10.442019007113318,1
3450,-1.415987336128092,2.6784504967127374,-8.19226329881994,-7.03478930218246,-3.0014673127479248,-2.9682525808685867,-5.58627287983259,-1.9828130844253198,-7.823326971029582,-9.337281462061947,2.33357848478524,-5.406533004400485,-3.939121636664395,6.037901325110317,-3.793810075320014,-0.29414247971407165,-4.12340921256733,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-0.32888063606940854,-4.65295723834312,-0.6846666953809999,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-1.9958121146548105,-1.246610814444684,-6.582411333381607,-6.009178612500284,-6.845539945259111,-8.007806016762746,-7.603272733606116,-4.4994076719273846,-6.35380671783716,-5.9568006337971084,-7.035265688398308,-4.709390256727555,-7.764164272064384,-12.905171737286299,-5.96025290901072,-8.122839584799634,-7.1127767628354714,-3.5845341882063937,-4.7847827340240485,-5.479790789740277,-11.210275781538483,-7.297845886810083,-7.346316942304635,-9.949713546906398,-0.9094660143617112,-14.5128669814669,-2.326494701361008,-6.100582140138676,-6.528116916544697,-17.93916761131015,-6.823125357990757,-2.35642322374483,-5.1475015889041424,-2.6549901877677873,-3.2052298060280657,-2.6856035636072497,-5.5299575900605875,2
3588,-1.415987336128092,-6.852366798054232,-0.9114631762636272,-7.03478930218246,-4.05332123026571,-2.9682525808685867,-5.58627287983259,-14.070593960702015,-8.185039260262087,-9.337281462061947,-5.04612924812007,-5.406533004400485,-3.939121636664395,-3.3648795511663834,-3.793810075320014,-0.27209371746649164,0.6604934671980333,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-4.65295723834312,-3.866520612898787,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-7.36093191756606,-2.7228370046410584,-3.72511293543509,-5.611041927731179,-7.566223971358537,-7.406490642533191,0.372339568905574,-7.502764062111423,-7.453729116712623,-3.9024732273333718,-4.181830836600796,-1.7020985939149447,-5.030058064280937,-8.869951935310313,-0.06920589762769831,-14.161006010143268,-8.145327597202032,-4.922929278343816,-11.210275781538483,-11.794772743438715,-5.491853360794927,-8.456282791208174,-5.530971581635613,-14.5128669814669,-8.378000268634908,-6.743363016415355,4.493476811011121,-4.748313591662111,-6.823125357990757,-2.35642322374483,-8.836022173088596,-8.510177438618907,-3.379656662656702,-0.23753042023587945,-10.934811456513243,2
4337,8.505473029640337,9.671572881399493,2.990388219619781,3.7600043969193,4.808139135502716,1.8216098851992566,2.463520819269175,8.909199738399746,8.276762657140658,7.4941789037064765,7.61781043133365,4.58586384515039,5.195672062437364,-3.3648795511663834,2.4530661441410357,-0.18946726449735163,-4.12340921256733,3.40197887899697,2.1003804781970614,1.9127974893150999,1.2342512553785046,3.138132186755675,4.43023856105804,4.751606419536306,0.13971621271757995,4.71587659178331,-0.47293631057990404,5.416200708170275,-0.35921396489380253,7.750528448202377,5.164656346781141,6.26555532906718,6.864334814970942,7.373000381311178,2.6549366251316964,3.17542522871124,5.471602627166312,7.845637572565117,4.494954040331512,3.1863098930026315,7.13184108553879,2.4441662883887934,4.4298830239710965,3.742987106114916,5.18321834252648,6.538896755467692,6.20462840765924,8.321184584229973,2.74416693601498,6.962086318658807,1.6524272848272663,4.359351340680491,7.66192671763488,7.395864610695729,6.16643068268639,1.2258185907642503,7.685626087791626,6.948335007777657,6.18837047535693,4.862104859346503,7.2879495938161964,3.9692830167970214,5.8564092592178305,3.82205523276451,1
4647,-1.415987336128092,-9.101644995481623,-3.981706026511695,-7.03478930218246,-4.05332123026571,-2.9682525808685867,-5.58627287983259,-14.070593960702015,-13.282291014274392,-9.337281462061947,-13.7363316233268,-5.406533004400485,-3.939121636664395,-3.3648795511663834,-3.793810075320014,0.6044380323956883,-3.8829747829397867,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-1.0091894753822401,-3.866520612898787,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-7.36093191756606,-5.306917954723756,-6.845539945259111,-6.004225504652985,-7.604692221496355,-5.304553785087429,-5.34806518150788,-1.8725394274941296,-10.083830304315974,-5.619318343217193,-5.435366545140851,-14.792952613563,-4.58642521812455,-8.217691277533785,-4.339367797793084,-13.191140926947753,-12.919013062153612,-7.783064195148303,-11.210275781538483,-11.639975118645445,-7.317381558222312,-7.632582486649554,-4.259228463442494,-8.38156369258425,-7.910915232979688,-5.95771137197405,-5.806942779009389,-17.93916761131015,-6.823125357990757,-2.35642322374483,-8.836022173088596,-8.510177438618907,-7.200184860084095,-9.32773279544261,-8.272086821895957,2
4750,-0.8651685139095168,-0.318549642706378,5.92449458682101,-1.63356106885459,-4.05332123026571,-2.9682525808685867,-0.690658763168656,4.635634272625864,6.13555373794415,-0.23646263984337987,-4.01636915110417,-5.406533004400485,-3.939121636664395,6.385734565497567,-3.793810075320014,-1.8289203194559047,-4.12340921256733,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-4.65295723834312,-3.866520612898787,-0.6198735785013351,-4.593917107318455,-0.47293631057990404,-2.7529788742675554,-1.246610814444684,5.976962982428476,-1.712932965834704,-6.845539945259111,-5.72778856205922,-5.056179201126638,2.9953711593578003,-0.508140237062655,-3.7400769552715176,-0.5082349515407429,-0.6908570721079581,0.13292926041509334,-2.6223384968990597,-1.8098085884943966,0.8945393580208467,4.604847826650571,-4.29075653435672,-9.71382086585811,-8.449755880333226,-0.5761236259865464,-15.33562676308675,-9.394593263779035,-2.7959533477602663,1.3107393698911776,-11.951638748139,-7.92235452663037,-6.452748899751455,0.02490357469368254,5.80706062201773,-0.5760492802148036,-2.35642322374483,-4.058946095312639,-6.956434694176282,-5.745203623972787,-3.6877703232199948,-10.817124349673325,2
